CGPA,Internships,Projects,Technical_Skills_Score,Core_Backlogs,Placed
6.87,2,1,69,1,1
9.75,3,3,82,1,1
8.66,1,4,75,1,1
7.99,3,4,88,1,1
5.78,3,1,70,0,1
5.78,2,0,98,0,1
5.29,3,3,91,2,1
9.33,2,4,92,2,1
8.01,0,1,90,1,1
8.54,0,4,58,0,1
5.1,2,3,73,1,1
9.85,0,3,86,2,1
9.16,1,2,98,2,1
6.06,3,1,90,1,1
5.91,1,3,66,2,0
5.92,3,2,73,1,1
6.52,0,2,70,0,1
7.62,1,4,100,1,1
7.16,0,4,88,0,1
6.46,3,2,90,0,1
8.06,2,4,88,2,1
5.7,2,3,62,2,0
6.46,1,0,60,2,0
6.83,0,3,95,1,1
7.28,0,2,68,1,1
8.93,1,2,60,2,1
6.0,2,3,62,1,1
7.57,3,4,95,2,1
7.96,1,4,94,1,1
5.23,3,2,50,0,1
8.04,2,1,89,0,1
5.85,0,4,93,2,0
5.33,2,3,68,1,0
9.74,1,4,61,1,1
9.83,0,3,57,0,1
9.04,1,2,57,0,1
6.52,1,4,94,2,1
5.49,2,3,61,0,0
8.42,1,2,97,2,1
7.2,2,1,82,0,1
5.61,0,3,94,0,1
7.48,2,1,75,1,1
5.17,0,1,88,0,1
9.55,2,0,77,0,1
6.29,3,4,54,2,1
8.31,3,3,57,0,1
6.56,1,1,74,2,1
7.6,2,0,76,0,1
7.73,2,2,95,0,1
5.92,0,3,72,2,0
9.85,1,1,79,1,1
8.88,2,4,94,2,1
9.7,1,0,96,2,1
9.47,3,1,72,2,1
7.99,2,4,98,1,1
9.61,2,1,96,0,1
5.44,1,3,69,2,1
5.98,2,3,67,2,0
5.23,1,3,67,1,0
6.63,2,0,51,2,0
6.94,0,3,53,0,1
6.36,1,4,79,1,1
9.14,2,1,82,0,1
6.78,3,2,85,0,1
6.4,2,4,67,1,1
7.71,3,4,86,2,1
5.7,3,3,68,0,1
9.01,0,0,96,0,1
5.37,1,1,77,0,1
9.93,2,0,89,0,1
8.86,0,1,69,1,1
5.99,2,1,98,1,1
5.03,3,0,82,0,1
9.08,1,4,61,2,1
8.53,2,1,100,0,1
8.65,2,0,64,2,1
8.86,3,1,90,0,1
5.37,2,2,88,2,1
6.79,2,4,51,0,1
5.58,3,3,78,2,1
9.32,0,1,90,0,1
8.12,3,2,59,0,1
6.65,0,3,51,2,1
5.32,1,3,100,1,1
6.55,0,1,60,2,1
6.63,0,0,62,1,0
8.65,1,1,59,0,1
8.19,0,2,63,2,1
9.44,3,3,67,2,1
7.36,0,1,100,2,1
5.6,1,0,58,1,1
8.57,3,1,88,1,1
8.8,1,4,77,0,1
7.81,1,0,52,1,0
8.85,2,2,69,1,1
7.47,2,3,55,0,1
7.61,1,1,76,2,1
7.14,1,0,51,2,0
5.13,1,4,78,0,1
5.54,2,0,87,2,0
5.16,2,4,52,1,1
8.18,0,2,65,0,1
6.57,0,3,79,0,1
7.54,1,2,89,0,1
9.54,3,1,51,2,1
6.25,3,0,66,0,1
7.05,2,4,90,0,1
8.78,2,4,61,0,1
6.14,2,0,84,2,1
5.38,1,0,92,1,1
6.45,3,1,50,0,1
5.81,0,2,94,1,1
9.65,1,4,64,2,1
9.04,0,1,75,2,1
8.17,0,2,86,2,1
9.36,1,1,70,2,1
9.02,0,4,98,1,1
5.93,3,0,80,0,1
9.46,0,0,74,2,1
7.7,3,2,72,2,1
9.04,3,3,73,1,1
9.48,3,2,87,1,1
6.59,2,3,77,2,1
5.55,0,1,70,0,1
6.14,1,1,92,0,1
7.14,1,4,67,2,1
9.09,0,3,85,1,1
9.3,2,4,84,2,1
5.03,2,0,94,2,0
7.55,3,3,58,1,1
7.09,0,2,87,2,1
6.11,0,0,79,2,0
5.6,1,0,93,2,0
6.69,0,2,83,1,1
9.71,2,0,81,0,1
6.62,0,3,52,0,1
7.59,1,4,52,1,1
8.52,3,0,77,0,1
6.82,1,3,93,2,0
9.86,1,1,64,0,1
9.81,3,3,90,2,1
6.26,1,4,72,0,1
7.49,1,3,89,1,1
6.5,0,2,60,0,1
6.42,0,4,97,0,1
5.18,3,1,81,0,1
8.05,0,2,85,1,1
7.51,0,3,82,0,1
5.26,1,4,73,1,1
6.39,2,1,88,2,1
9.54,0,2,83,0,1
6.2,2,1,77,1,1
5.72,0,3,86,1,1
7.45,0,1,56,0,1
9.93,3,0,53,2,1
6.21,3,2,86,1,1
8.36,3,1,50,0,1
8.81,2,3,50,2,1
6.19,1,3,96,1,1
8.64,0,1,69,1,1
6.84,0,3,68,2,0
8.16,0,4,78,2,1
8.17,2,4,59,0,1
7.68,3,4,67,0,1
5.45,1,0,77,1,1
9.18,2,1,84,2,1
6.6,3,0,92,2,1
5.93,2,3,96,2,1
5.2,1,0,80,1,0
7.95,3,3,76,2,1
8.39,2,3,60,2,1
5.08,1,2,98,1,1
7.56,0,4,98,0,1
6.13,1,3,87,0,1
8.23,0,2,54,1,0
5.87,2,4,57,2,1
8.45,3,3,83,1,1
6.93,3,3,97,0,1
9.68,2,0,61,0,1
5.69,3,0,87,1,1
6.71,3,4,50,1,1
5.57,0,3,80,0,1
9.62,2,1,53,1,1
9.39,1,0,98,0,1
6.29,0,4,94,1,1
8.3,2,3,99,1,1
9.09,0,3,54,1,1
7.78,1,1,79,0,1
7.65,1,4,73,1,1
6.21,2,3,52,0,1
5.47,1,0,60,0,1
9.49,0,1,94,1,1
9.5,1,4,53,1,1
8.17,0,1,75,0,1
6.7,0,0,76,0,1
6.75,1,4,95,2,1
8.63,2,1,92,0,1
9.49,3,2,76,2,1
9.44,1,0,91,2,1
8.9,0,0,100,2,1
8.21,0,0,99,1,1
5.42,1,2,55,1,1
5.81,2,2,64,0,1
9.49,2,3,79,2,1
8.03,0,1,91,1,1
5.05,0,3,86,1,1
5.51,2,1,86,1,1
8.32,3,2,91,1,1
5.03,1,2,86,1,1
5.8,0,3,84,2,0
7.74,0,4,72,2,1
8.46,2,3,55,2,1
8.26,1,1,53,2,1
6.12,2,3,67,0,1
8.56,1,0,58,2,1
6.19,1,1,98,1,1
6.63,1,1,78,2,0
8.73,0,4,62,0,1
8.25,3,2,96,1,1
9.25,2,1,66,2,1
8.29,3,2,94,2,1
7.84,2,3,81,2,1
5.47,1,0,97,1,1
6.84,0,4,71,1,1
6.33,3,2,53,0,1
6.22,0,1,54,1,0
9.87,2,2,86,1,1
6.97,0,1,90,2,1
9.46,0,2,98,1,1
8.16,3,1,62,2,1
8.97,1,3,83,2,1
7.51,0,1,94,1,1
7.88,1,1,71,0,1
7.46,2,0,72,0,1
5.98,0,1,100,1,1
8.61,3,0,52,0,1
6.4,2,4,91,2,1
5.12,2,0,83,2,1
8.23,3,3,81,1,1
5.89,0,0,94,0,1
9.7,0,4,100,0,1
9.77,2,3,98,2,1
9.57,0,2,70,1,1
6.85,1,2,95,0,1
5.08,3,0,93,1,1
9.64,1,0,70,0,1
7.14,0,4,93,2,1
9.83,2,4,60,2,1
9.82,3,1,88,1,1
9.27,0,4,53,2,1
6.47,0,1,100,0,1
6.93,2,3,50,2,1
9.26,2,0,77,1,1
6.58,1,3,73,1,1
5.85,3,4,84,1,1
7.78,3,3,62,0,1
9.68,2,3,96,0,1
8.48,1,3,83,0,1
7.85,3,4,60,0,1
5.49,2,3,85,0,1
8.08,0,1,100,2,1
9.95,3,4,66,0,1
5.7,1,3,84,0,1
7.59,1,4,67,2,1
9.39,1,2,89,0,1
8.7,0,1,71,1,1
8.49,3,3,73,0,1
8.51,3,2,68,0,1
6.8,0,2,86,1,1
6.47,3,4,88,1,1
9.05,0,2,70,1,1
9.05,0,1,57,1,1
9.34,0,1,77,0,1
9.57,1,0,54,1,1
7.56,3,1,66,1,1
7.51,0,2,86,2,1
8.99,3,1,85,1,1
8.25,1,4,68,1,1
8.51,0,0,76,2,1
8.98,2,2,83,2,1
9.45,1,0,60,0,1
6.69,2,2,94,2,1
6.88,3,4,96,0,1
5.47,3,0,61,2,1
7.89,1,3,70,2,1
5.18,3,2,60,0,1
7.33,2,3,88,2,1
7.71,0,0,77,0,1
6.43,0,3,54,2,0
7.95,0,3,66,1,1
5.15,1,0,69,2,0
5.19,3,4,90,0,1
9.11,2,3,95,2,1
6.8,3,3,61,0,1
5.64,3,4,55,0,1
7.61,3,3,66,1,1
8.85,0,3,100,1,1
6.08,2,3,68,0,1
8.11,2,1,75,2,0
5.43,3,4,97,0,1
5.26,0,3,93,0,1
7.66,0,4,93,2,1
7.7,2,2,81,2,1
8.19,0,2,55,2,1
8.63,0,3,85,2,1
9.88,0,4,87,0,1
7.58,1,4,60,0,1
6.61,3,4,82,1,1
8.98,2,1,73,0,1
6.35,2,2,72,2,1
7.19,1,4,64,1,1
5.39,3,4,76,2,1
5.13,2,1,60,0,1
9.81,0,1,100,1,1
9.18,2,4,99,2,1
8.48,0,0,66,1,1
7.04,1,4,100,1,1
5.87,0,4,63,0,1
5.78,2,1,76,2,1
6.25,2,1,67,1,1
7.75,2,4,77,1,1
8.57,1,4,100,2,1
8.3,1,4,96,1,1
6.4,3,1,96,1,1
9.77,2,4,53,1,1
8.69,0,4,56,2,1
7.77,1,3,94,2,1
8.06,2,0,84,2,1
7.1,2,2,97,2,1
6.24,1,0,58,0,1
6.78,3,3,57,1,1
8.79,1,2,94,2,1
5.07,1,4,66,1,1
5.58,0,3,66,1,1
5.23,0,4,98,0,1
5.2,3,1,82,2,0
9.28,2,3,81,2,1
8.52,1,1,57,1,1
7.37,3,3,68,2,1
5.49,0,3,87,1,1
7.46,1,1,52,1,1
7.37,2,2,54,0,1
5.87,0,0,62,0,0
7.17,0,4,96,0,1
6.99,0,3,95,1,1
8.08,3,4,80,2,1
8.18,2,1,65,0,1
5.23,1,4,99,2,1
6.87,3,1,81,0,1
8.13,3,4,71,0,1
7.52,3,0,78,1,1
9.28,0,0,71,0,1
8.29,2,0,92,0,1
5.81,3,0,52,1,0
5.35,1,0,59,2,0
8.21,2,0,91,0,1
5.13,1,1,70,1,0
7.93,2,3,65,0,1
9.7,1,4,61,1,1
7.88,0,0,51,2,1
6.94,3,1,90,2,1
8.22,1,1,73,1,1
7.29,2,1,84,1,1
7.73,3,3,79,1,1
9.71,3,4,79,2,1
6.93,2,3,96,0,1
9.81,1,2,84,2,1
9.53,0,1,68,1,1
5.98,0,2,99,1,1
5.35,1,0,57,2,1
5.5,3,0,75,1,1
5.09,3,3,98,2,1
5.47,3,4,89,1,1
8.42,3,2,56,0,1
5.36,1,4,79,0,1
6.59,3,3,56,1,1
9.22,2,0,52,2,1
5.12,3,4,50,0,1
9.07,0,4,85,2,1
6.41,3,0,74,1,1
5.59,1,2,86,2,0
8.48,0,0,50,0,1
8.14,1,4,64,2,1
9.39,1,2,86,2,1
8.68,0,2,62,1,1
9.02,1,0,89,1,1
6.41,1,4,57,1,1
5.89,3,3,54,0,1
8.75,2,4,58,0,1
9.03,1,1,50,1,1
9.95,1,3,85,1,1
7.06,1,2,84,0,1
6.86,3,3,51,0,1
8.88,2,2,89,0,1
6.7,0,2,72,0,1
9.65,3,3,58,1,1
9.29,3,2,83,0,1
7.14,2,2,95,1,1
8.75,2,1,63,2,1
8.77,3,4,53,2,1
5.52,0,4,79,0,1
9.51,3,1,80,2,1
7.53,2,3,87,2,1
9.13,0,0,60,2,1
6.6,2,0,84,0,1
9.48,0,0,57,0,1
6.95,1,1,52,2,1
5.05,2,1,63,1,1
9.53,2,2,62,2,1
5.46,3,0,94,0,1
6.6,2,3,81,0,1
9.75,2,3,83,0,1
9.75,1,0,94,2,1
7.87,2,0,68,1,1
8.16,1,0,87,0,1
7.24,1,1,65,0,1
6.47,1,1,51,2,0
6.64,1,1,89,1,1
8.36,0,4,66,2,1
8.76,3,3,83,0,1
8.96,0,3,91,1,1
8.95,2,2,65,1,1
5.46,0,1,87,0,1
7.47,0,4,51,1,1
5.29,2,4,51,1,1
7.75,2,3,75,2,1
7.21,2,1,62,0,1
9.44,0,2,96,0,1
6.75,0,1,80,0,1
5.59,2,0,83,0,1
5.71,3,1,88,0,1
8.81,3,0,52,1,1
8.09,1,0,57,2,0
5.51,2,2,72,0,1
5.42,1,3,63,2,0
8.5,3,1,76,2,1
5.36,1,0,78,1,1
9.11,2,1,88,0,1
8.53,2,3,88,1,1
5.41,2,3,50,0,1
5.42,0,4,66,1,0
9.93,1,3,90,2,1
6.87,3,2,79,0,1
6.85,3,0,62,2,1
9.06,3,4,70,2,1
9.74,0,2,68,1,1
9.93,0,1,68,0,1
8.77,2,0,74,2,1
6.88,3,3,71,1,1
5.42,0,0,80,0,0
8.89,2,1,66,0,1
7.79,3,4,72,2,1
7.12,1,4,81,0,1
9.53,2,4,59,2,1
5.56,0,3,59,0,1
7.46,0,2,85,1,1
5.06,2,2,57,2,1
7.34,2,0,69,2,1
5.28,0,3,81,0,1
5.59,1,4,99,0,1
5.59,3,4,63,2,1
8.25,1,1,99,0,1
8.73,2,1,77,1,1
7.92,1,4,95,0,1
9.81,0,4,73,1,1
6.87,2,3,64,1,1
6.43,3,2,71,1,1
9.34,0,1,79,1,1
